transaction_id,sender_account,receiver_account,amount,currency,timestamp,channel,branch_code,reference_number,is_fraud,typology
TXN-84E537861868,ACC-8861,ACC-2952,327697.98,INR,2026-05-22T17:52:37.384286,NEFT,BR-697,REF-357255,True,fan_out_fan_in
TXN-E24EDF90C594,ACC-5399,ACC-8384,3876286.28,INR,2026-05-26T17:31:18.384286,NEFT,BR-931,REF-978516,True,round_trip_layering
TXN-FA4EDE79D7A2,ACC-2650,ACC-8598,192306.03,INR,2026-05-07T13:15:00.384286,UPI,BR-436,REF-740577,True,fan_out_fan_in
TXN-EE910FA119BB,ACC-2095,ACC-8110,1440729.83,INR,2026-05-07T04:52:47.384286,NEFT,BR-103,REF-719486,True,round_trip_layering
TXN-FB22A9FE6C2B,ACC-6405,ACC-5621,5386.14,INR,2026-05-07T00:26:57.384286,IMPS,BR-904,REF-366509,False,
TXN-116B0796DFC2,ACC-7144,ACC-5931,232133.4,INR,2026-05-24T07:28:15.384286,NEFT,BR-450,REF-120506,True,fan_out_fan_in
TXN-12B374B6B217,ACC-2313,ACC-1752,133804.65,INR,2026-05-01T05:42:57.384286,RTGS,BR-369,REF-857650,False,
TXN-8818DD4DF613,ACC-5024,ACC-6134,156740.67,INR,2026-05-13T19:43:19.384286,UPI,BR-539,REF-440471,True,structuring
TXN-661CDCC2C5A1,ACC-8973,ACC-3135,161727.71,INR,2026-05-09T12:58:14.461209,UPI,BR-938,REF-239959,True,structuring
TXN-C8B2AF8EBF95,ACC-6251,ACC-4893,776525.77,INR,2026-05-19T02:39:53.649179,NEFT,BR-557,REF-100886,True,mule_chain
TXN-A7D9F0DC14BF,ACC-2525,ACC-8357,171754.79,INR,2026-05-07T01:00:01.384286,IMPS,BR-976,REF-232277,True,fan_out_fan_in
TXN-6E2562CE45EB,ACC-5604,ACC-4879,2071979.61,INR,2026-05-26T08:20:44.384286,CARD,BR-914,REF-380698,False,
TXN-E62D9BBEE56C,ACC-2247,ACC-9250,423935.77,INR,2026-05-12T22:04:42.384286,RTGS,BR-554,REF-505072,True,fan_out_fan_in
TXN-47C1168B190C,ACC-3607,ACC-1698,1255648.03,INR,2026-05-05T07:06:08.837996,NEFT,BR-869,REF-772181,True,mule_chain
TXN-8C93AA69B645,ACC-5142,ACC-5808,158766.06,INR,2026-05-12T14:01:40.384286,NEFT,BR-637,REF-344230,True,structuring
TXN-FEF4E50D3E36,ACC-6487,ACC-7514,2076292.55,INR,2026-05-25T07:39:49.384286,IMPS,BR-969,REF-990218,False,
TXN-FD0C886FCF8D,ACC-3989,ACC-1953,172096.49,INR,2026-05-26T19:14:44.384286,IMPS,BR-805,REF-356725,True,structuring
TXN-47D23A50DE82,ACC-3954,ACC-7243,188836.17,INR,2026-05-13T23:11:09.384286,UPI,BR-322,REF-454199,True,structuring
TXN-5EAF455BE3B7,ACC-7216,ACC-4608,13014.55,INR,2026-05-18T03:57:23.384286,CARD,BR-206,REF-378207,False,
TXN-0AE6B8E5E811,ACC-7754,ACC-9667,181087.43,INR,2026-05-15T20:47:10.670000,UPI,BR-710,REF-243222,True,structuring
TXN-EBEDE5BCBDFD,ACC-8865,ACC-7279,502546.21,INR,2026-05-08T12:38:41.384286,NEFT,BR-157,REF-819498,True,fan_out_fan_in
TXN-8B13188E990C,ACC-5108,ACC-8956,43269.96,INR,2026-05-07T01:39:01.384286,UPI,BR-485,REF-139702,False,
TXN-74E37FC4EC73,ACC-7836,ACC-6760,3490.05,INR,2026-05-23T06:22:26.384286,NEFT,BR-954,REF-547011,False,
TXN-D9C22CE85CF3,ACC-9743,ACC-9192,995919.14,INR,2026-05-17T01:37:13.456913,UPI,BR-659,REF-246976,True,mule_chain
TXN-BC8664210A62,ACC-8872,ACC-8123,8557.32,INR,2026-05-06T00:59:54.384286,UPI,BR-472,REF-533734,False,
TXN-A62C69B7B35D,ACC-6151,ACC-2482,36846.21,INR,2026-05-17T17:05:55.384286,NEFT,BR-511,REF-324451,False,
TXN-44D000FA5226,ACC-1521,ACC-3793,33514.47,INR,2026-05-07T22:13:21.384286,RTGS,BR-973,REF-903762,False,
TXN-7C605B328F35,ACC-1765,ACC-9842,88237.32,INR,2026-05-08T12:18:57.384286,CARD,BR-485,REF-482544,False,
TXN-6B8CE891ED03,ACC-2555,ACC-8439,185947.68,INR,2026-05-25T00:18:27.384286,IMPS,BR-304,REF-718521,True,structuring
TXN-1D5D73557D18,ACC-2931,ACC-8962,26311.93,INR,2026-05-20T02:37:52.384286,NEFT,BR-890,REF-863281,False,
TXN-8D1AB17B7199,ACC-7728,ACC-1848,159909.34,INR,2026-05-11T02:41:25.657013,NEFT,BR-455,REF-525447,True,structuring
TXN-2684C64726DD,ACC-8996,ACC-7047,181453.9,INR,2026-05-22T02:10:14.384286,IMPS,BR-189,REF-901585,True,structuring
TXN-348842C71E9E,ACC-7268,ACC-5519,1041273.38,INR,2026-05-30T01:39:02.035792,UPI,BR-105,REF-350337,True,mule_chain
TXN-5BCEFC3BFDF3,ACC-5929,ACC-3279,53565.85,INR,2026-05-04T06:35:17.384286,IMPS,BR-535,REF-575198,False,
TXN-BDDAD7041AEC,ACC-5973,ACC-9202,176193.59,INR,2026-05-06T09:43:42.384286,NEFT,BR-847,REF-185863,True,fan_out_fan_in
TXN-1DD6098FB7E1,ACC-9873,ACC-7050,967831.41,INR,2026-05-18T04:34:44.384286,NEFT,BR-373,REF-589576,True,dormant_activation
TXN-C870906CDAD7,ACC-2784,ACC-2391,2801.33,INR,2026-05-02T17:50:18.384286,NEFT,BR-925,REF-798140,False,
TXN-AC752C77D317,ACC-2304,ACC-7574,1208821.95,INR,2026-05-27T06:11:07.384286,NEFT,BR-104,REF-290083,True,dormant_activation
TXN-F071AC436584,ACC-7839,ACC-9705,548146.6,INR,2026-05-15T21:10:16.384286,NEFT,BR-880,REF-226623,False,
TXN-D5165965EFAA,ACC-2049,ACC-5397,2355515.69,INR,2026-05-19T14:28:38.384286,CARD,BR-924,REF-962341,True,round_trip_layering
TXN-FD877350DB44,ACC-7927,ACC-5102,18197.41,INR,2026-05-17T12:41:56.384286,NEFT,BR-893,REF-270263,False,
TXN-66A10A3654EE,ACC-8501,ACC-9319,167408.4,INR,2026-05-23T07:44:17.384286,NEFT,BR-840,REF-670680,True,structuring
TXN-F68330995FA0,ACC-6552,ACC-1739,163945.01,INR,2026-05-10T00:18:20.076594,UPI,BR-680,REF-996853,True,structuring
TXN-1C4B8D60DAB9,ACC-5758,ACC-3992,1457182.55,INR,2026-05-03T15:28:56.356529,IMPS,BR-926,REF-164932,True,mule_chain
TXN-01D9E4F6494C,ACC-9878,ACC-4673,1616359.06,INR,2026-05-27T07:22:24.963041,IMPS,BR-965,REF-329108,True,mule_chain
TXN-959AC6050196,ACC-4848,ACC-8926,157556.94,INR,2026-05-14T21:43:26.747922,IMPS,BR-726,REF-704790,True,structuring
TXN-82BCB0F7E2D6,ACC-3358,ACC-2471,22057.91,INR,2026-05-21T23:20:24.384286,NEFT,BR-448,REF-742233,False,
TXN-86AA56979081,ACC-5310,ACC-3875,164111.26,INR,2026-05-15T08:07:40.384286,IMPS,BR-314,REF-450358,False,
TXN-5C0B9BA68928,ACC-1048,ACC-4120,12301.52,INR,2026-05-23T23:15:59.384286,NEFT,BR-775,REF-364568,False,
TXN-99DF5C34C6A5,ACC-7684,ACC-6312,344827.29,INR,2026-05-28T06:35:02.384286,RTGS,BR-422,REF-989659,True,fan_out_fan_in
TXN-3BB6AADB5CAA,ACC-5067,ACC-2966,398743.69,INR,2026-05-15T00:36:41.384286,RTGS,BR-905,REF-979259,False,
TXN-88EBD05358EC,ACC-8404,ACC-9647,14269.13,INR,2026-05-27T20:28:03.384286,UPI,BR-414,REF-235104,False,
TXN-3599BAEE657F,ACC-8447,ACC-5991,13563.19,INR,2026-05-16T23:23:10.384286,UPI,BR-363,REF-371776,False,
TXN-BBD3FFA6247C,ACC-5269,ACC-6592,851789.17,INR,2026-05-07T19:39:14.384286,UPI,BR-615,REF-467540,True,fan_out_fan_in
TXN-F20D620D8241,ACC-8693,ACC-6011,9481.95,INR,2026-05-01T09:59:08.384286,NEFT,BR-701,REF-940751,False,
TXN-4094A2E8033A,ACC-9535,ACC-6927,10801.88,INR,2026-05-09T14:19:20.384286,NEFT,BR-462,REF-423542,False,
TXN-A9CD351C3972,ACC-4883,ACC-6605,44787.44,INR,2026-05-15T15:31:27.384286,RTGS,BR-924,REF-202585,False,
TXN-99C8274A80A5,ACC-4923,ACC-9477,8950.17,INR,2026-05-06T09:40:47.384286,UPI,BR-693,REF-358316,False,
TXN-EC538F2AC19B,ACC-4879,ACC-1180,60345.34,INR,2026-05-11T09:42:24.384286,UPI,BR-123,REF-402366,False,
TXN-65F535DB90E7,ACC-4156,ACC-8012,34813.65,INR,2026-05-08T22:34:01.384286,RTGS,BR-350,REF-577248,False,
TXN-0C427FC43D84,ACC-3184,ACC-2428,8212.49,INR,2026-05-26T14:28:57.384286,UPI,BR-119,REF-335420,False,
TXN-F8AD2AB357C3,ACC-7974,ACC-6255,2289505.96,INR,2026-05-13T07:59:36.384286,RTGS,BR-977,REF-425660,True,round_trip_layering
TXN-498A9018C3A6,ACC-9521,ACC-3203,19743.93,INR,2026-05-11T02:40:42.384286,UPI,BR-569,REF-246744,False,
TXN-954A7C52A2DC,ACC-1239,ACC-8775,1592559.49,INR,2026-05-12T15:42:12.384286,UPI,BR-309,REF-559927,True,dormant_activation
TXN-0F0918763FBD,ACC-7514,ACC-3528,187614.89,INR,2026-05-26T15:31:56.461209,NEFT,BR-600,REF-868528,True,structuring
TXN-35335B262142,ACC-2769,ACC-9733,174829.46,INR,2026-05-27T14:36:23.384286,IMPS,BR-964,REF-210382,True,structuring
TXN-9C8B6D9102DD,ACC-6199,ACC-6844,599381.07,INR,2026-05-16T08:38:34.384286,IMPS,BR-655,REF-902825,True,fan_out_fan_in
TXN-5BF79CB6974C,ACC-4424,ACC-5732,587373.83,INR,2026-05-03T10:28:28.384286,NEFT,BR-647,REF-795699,True,fan_out_fan_in
TXN-821423A0790B,ACC-8381,ACC-3187,87074.68,INR,2026-05-19T13:21:27.384286,IMPS,BR-911,REF-175020,False,
TXN-8AF67F9F1A88,ACC-1257,ACC-6514,68281.37,INR,2026-05-26T01:44:43.384286,NEFT,BR-953,REF-529099,False,
TXN-4E085AFE2026,ACC-2195,ACC-3972,26742.31,INR,2026-05-23T23:58:42.384286,NEFT,BR-718,REF-964061,False,
TXN-C88C01E63F5B,ACC-2021,ACC-8941,140340.57,INR,2026-05-21T08:43:28.384286,RTGS,BR-933,REF-274502,False,
TXN-9F54668BE4BE,ACC-8973,ACC-8342,167693.98,INR,2026-05-09T18:30:32.922748,NEFT,BR-885,REF-970160,True,structuring
TXN-DACCE7BEA207,ACC-2962,ACC-5782,46447.12,INR,2026-05-02T22:42:34.384286,RTGS,BR-196,REF-788912,False,
TXN-E226E6B3AF79,ACC-4600,ACC-2047,407137.7,INR,2026-05-11T08:06:10.384286,NEFT,BR-200,REF-107858,True,fan_out_fan_in
TXN-C7B1122D0F33,ACC-6775,ACC-5825,16833.38,INR,2026-05-30T05:29:49.384286,IMPS,BR-774,REF-730182,False,
TXN-E2BFB055C477,ACC-9370,ACC-1008,179031.49,INR,2026-05-07T21:32:41.384286,IMPS,BR-579,REF-127472,True,structuring
TXN-62142D356256,ACC-6391,ACC-1814,185630.35,INR,2026-05-12T13:22:41.384286,UPI,BR-728,REF-995553,True,structuring
TXN-32A4F63F6B08,ACC-9472,ACC-4278,819943.53,INR,2026-05-15T10:03:46.686738,NEFT,BR-363,REF-618530,True,mule_chain
TXN-04A4E56B87A5,ACC-8815,ACC-3251,63435.65,INR,2026-05-26T21:46:46.384286,UPI,BR-412,REF-197403,False,
TXN-143A5E105F42,ACC-8558,ACC-4972,28416.77,INR,2026-05-13T18:49:52.384286,RTGS,BR-227,REF-396432,False,
TXN-C0F4AB1BA437,ACC-9100,ACC-1776,9524.66,INR,2026-05-11T06:54:13.384286,UPI,BR-578,REF-401852,False,
TXN-3AA8D8FA052A,ACC-9675,ACC-6266,165505.43,INR,2026-05-25T14:05:08.475195,NEFT,BR-209,REF-967545,True,structuring
TXN-1D6A1124B02C,ACC-9565,ACC-3328,164520.14,INR,2026-05-16T03:36:44.691978,UPI,BR-543,REF-288269,True,structuring
TXN-39AC3A697336,ACC-1017,ACC-2734,2975013.98,INR,2026-05-17T03:36:02.384286,RTGS,BR-854,REF-495696,True,round_trip_layering
